title,preacher,ministry,notes
Becoming a Partner - Pastor Sarah Jakes Roberts,Sarah Jakes Roberts,The Potter's House,Solo sermon on The Potter's House channel.
The Assurance of Hope - Bishop Noel Jones,Noel Jones,The Potter's House,Guest preacher on The Potter's House channel. Ministry is where it was published.
The Names of God - Pastor Cora Jakes,Cora Jakes,The Potter's House,Guest preacher on The Potter's House channel. Ministry is where it was published.
When the Winds Blow - Pastor Cora Jakes,Cora Jakes,The Potter's House,Guest preacher on The Potter's House channel. Ministry is where it was published.
The Promise in Process - Pastor Michael Phillips,Michael Phillips,The Potter's House,Guest preacher on The Potter's House channel. Ministry is where it was published.
Exhausted Yet Pursuing - Bishop Eric McDaniel,Eric McDaniel,The Potter's House,Guest preacher on The Potter's House channel. Ministry is where it was published.
This Happened - Pastor Joel Tudman,Joel Tudman,The Potter's House,Guest preacher on The Potter's House channel. Ministry is where it was published.
All I Need Is an Opportunity: Opportunity Broker - Bishop Tudor Bismark,Tudor Bismark,The Potter's House,Guest preacher on The Potter's House channel. Ministry is where it was published.
I Am An Old Soldier - Bishop Tudor Bismark,Tudor Bismark,The Potter's House,Guest preacher on The Potter's House channel. Ministry is where it was published.
Storm Survivors - Bishop Timothy J. Clarke,Timothy J. Clarke,The Potter's House,Guest preacher on The Potter's House channel. Ministry is where it was published.
"Faith Stops at the Question - Bishop Paul S. Morton [February 16, 2020]",Paul S. Morton,The Potter's House,Guest preacher on The Potter's House channel. Ministry is where it was published.
"His Steadfast Love - Bishop Jacqueline McCullough [October 6th, 2019]",Jacqueline McCullough,The Potter's House,Guest preacher on The Potter's House channel. Ministry is where it was published.
Same God - Pastor Mark Baker,Mark Baker,The Potter's House,Guest preacher on The Potter's House channel. Ministry is where it was published.
Trapped by the Question - Pastor Keion Henderson,Keion Henderson,The Potter's House,Guest preacher on The Potter's House channel. Ministry is where it was published.
Rightfully Mine!,Unattributed,The Potter's House,"Title names no preacher and the transcript never says. Male, over 60 by his own account, Sunday 2021-04-11 on The Potter's House channel with a Wednesday follow-up. Probably T.D. Jakes, not confirmed."
Dig Your Way Out Of It - Bishop T.D. Jakes and Friends,Multiple speakers,The Potter's House,"More than one voice in the transcript, so not scored as any single preacher. Speakers: T.D. Jakes and friends, team-taught."
Winning at Home - T.D. Jakes and Serita Jakes Discuss Relationships at ILS 2023,Multiple speakers,The Potter's House,"More than one voice in the transcript, so not scored as any single preacher. Speakers: T.D. Jakes, Serita Jakes. Discussion."
"Model Homes - Bishop T.D. & Serita Jakes [January 12, 2020]",Multiple speakers,The Potter's House,"More than one voice in the transcript, so not scored as any single preacher. Speakers: T.D. Jakes, Serita Jakes. Co-preached."
"Model Homes II: The Power of Agreement - Bishop T.D. & Serita Jakes [January 26, 2020]",Multiple speakers,The Potter's House,"More than one voice in the transcript, so not scored as any single preacher. Speakers: T.D. Jakes, Serita Jakes. Co-preached."
"The Crucifixion | Pastor Sarah Jakes Roberts, Pastor Touré Roberts, and Bishop T.D. Jakes",Multiple speakers,The Potter's House,"More than one voice in the transcript, so not scored as any single preacher. Speakers: Sarah Jakes Roberts, Touré Roberts, T.D. Jakes."
Don’t Drop The Mic | A Conversation with Bishop T.D. Jakes and Steven Furtick!,Multiple speakers,The Potter's House,"More than one voice in the transcript, so not scored as any single preacher. Speakers: T.D. Jakes, Steven Furtick. Conversation."
"The Death, Burial, & Resurrection - Bishop T.D. Jakes, Dr. Cynthia James, and Dr. Antipas Harris",Multiple speakers,The Potter's House,"More than one voice in the transcript, so not scored as any single preacher. Speakers: T.D. Jakes, Cynthia James, Antipas Harris."
Ministry Takes On Many Forms with Bishop T.D. Jakes and Friends,Multiple speakers,The Potter's House,"More than one voice in the transcript, so not scored as any single preacher. Speakers: T.D. Jakes and friends."
Operation Restoration - Bishop T.D. Jakes and Friends,Multiple speakers,The Potter's House,"More than one voice in the transcript, so not scored as any single preacher. Speakers: T.D. Jakes and friends, team-taught."
"HerStory - Bishop T.D. Jakes, Dr. Sabrina E, Pastor Dr. Cynthia J, Elder Simone O, Elder Christie D",Multiple speakers,The Potter's House,"More than one voice in the transcript, so not scored as any single preacher. Speakers: T.D. Jakes, Sabrina Ellis, Cynthia James, Simone O., Christie D. Panel."
